numAlumno,nombre,apellidos,email,fechaNacimiento,repite
NULL,Laura,Garrido Gutiérrez,laura.garrido@ejemplo.com,2007-06-12 00:00:00,0
NULL,Antonio,Torres Cortes,antonio.torres@ejemplo.com,2006-03-04 00:00:00,0
NULL,Irene,Domínguez Medina,irene.dominguez@ejemplo.com,2006-10-23 00:00:00,1
NULL,Alberto,Díaz Cortes,alberto.diaz@ejemplo.com,2005-05-02 00:00:00,0
NULL,Silvia,Gutiérrez Romero,silvia.gutierrez@ejemplo.com,2004-06-04 00:00:00,1
NULL,Cristina,Ramírez Gutiérrez,cristina.ramirez@ejemplo.com,2005-03-23 00:00:00,0
NULL,Diego,Ramos Díaz,diego.ramos@ejemplo.com,2006-02-25 00:00:00,0
NULL,Iván,Romero Suárez,ivan.romero@ejemplo.com,2004-09-09 00:00:00,0
NULL,Ana,Torres Vázquez,ana.torres@ejemplo.com,2006-06-12 00:00:00,0
NULL,Irene,Rubio López,irene.rubio@ejemplo.com,2007-01-13 00:00:00,0
NULL,Pedro,Ramos Vázquez,pedro.ramos@ejemplo.com,2004-04-12 00:00:00,0
NULL,Miguel,Ortiz Díaz,miguel.ortiz@ejemplo.com,2006-07-22 00:00:00,0
NULL,Iván,Santos Iglesias,ivan.santos@ejemplo.com,2007-03-03 00:00:00,0
NULL,Ana,Núñez Castro,ana.nunez@ejemplo.com,2006-04-01 00:00:00,0
NULL,Raquel,Ortiz Suárez,raquel.ortiz@ejemplo.com,2004-09-05 00:00:00,0
NULL,Juan,Cortes Domínguez,juan.cortes@ejemplo.com,2004-03-12 00:00:00,0
NULL,Álvaro,Castillo Garrido,alvaro.castillo@ejemplo.com,2005-07-19 00:00:00,0
NULL,Sofía,Delgado Pérez,sofia.delgado@ejemplo.com,2007-07-06 00:00:00,0
NULL,Cristina,Navarro López,cristina.navarro@ejemplo.com,2005-06-24 00:00:00,0
NULL,Pedro,Pérez Núñez,pedro.perez@ejemplo.com,2004-12-17 00:00:00,1
NULL,Luis,Iglesias Santos,luis.iglesias@ejemplo.com,2004-10-16 00:00:00,0
NULL,Andrés,Medina Morales,andres.medina@ejemplo.com,2007-09-05 00:00:00,0
NULL,Sara,Medina Romero,sara.medina@ejemplo.com,2005-09-08 00:00:00,0
NULL,Sofía,Ramos Ortega,sofia.ramos@ejemplo.com,2005-11-21 00:00:00,0
NULL,Juan,Ruiz Navarro,juan.ruiz@ejemplo.com,2006-12-24 00:00:00,0
NULL,Ana,Romero Garrido,ana.romero@ejemplo.com,2007-01-07 00:00:00,0
NULL,Sofía,Núñez Ruiz,sofia.nunez@ejemplo.com,2006-04-07 00:00:00,0
NULL,Natalia,Castillo Fernández,natalia.castillo@ejemplo.com,2006-05-22 00:00:00,0
NULL,Beatriz,Torres Romero,beatriz.torres@ejemplo.com,2005-11-02 00:00:00,0
NULL,Sofía,Ortiz Castro,sofia.ortiz@ejemplo.com,2006-05-16 00:00:00,0
NULL,Lucía,Serrano Delgado,lucia.serrano@ejemplo.com,2004-08-11 00:00:00,0
NULL,Irene,Sánchez Sanz,irene.sanchez@ejemplo.com,2004-10-22 00:00:00,0
NULL,Irene,Fernández Ruiz,irene.fernandez@ejemplo.com,2005-06-01 00:00:00,0
NULL,Sara,Núñez Castillo,sara.nunez@ejemplo.com,2005-04-28 00:00:00,0
NULL,Pablo,Molina Castillo,pablo.molina@ejemplo.com,2006-01-22 00:00:00,0
NULL,Álvaro,Sánchez Ortiz,alvaro.sanchez@ejemplo.com,2006-05-08 00:00:00,0
NULL,Julia,Serrano Vázquez,julia.serrano@ejemplo.com,2006-05-16 00:00:00,0
NULL,José,Castro Santos,jose.castro@ejemplo.com,2007-10-17 00:00:00,0
NULL,Marta,Blanco Pérez,marta.blanco@ejemplo.com,2007-02-08 00:00:00,0
NULL,Iván,Iglesias Ruiz,ivan.iglesias@ejemplo.com,2005-02-10 00:00:00,0
NULL,Daniel,Castro Vázquez,daniel.castro@ejemplo.com,2004-12-15 00:00:00,0
NULL,Adrián,Rodríguez Fernández,adrian.rodriguez@ejemplo.com,2006-04-14 00:00:00,0
NULL,Fernando,García Santos,fernando.garcia@ejemplo.com,2005-05-09 00:00:00,1
NULL,Sara,Díaz Alonso,sara.diaz@ejemplo.com,2005-08-15 00:00:00,0
NULL,Rocío,Romero Martínez,rocio.romero@ejemplo.com,2004-05-05 00:00:00,0
NULL,David,Castillo Ruiz,david.castillo@ejemplo.com,2005-08-25 00:00:00,0
NULL,Patricia,Cortes Navarro,patricia.cortes@ejemplo.com,2005-11-09 00:00:00,0
NULL,Laura,Sanz Romero,laura.sanz@ejemplo.com,2006-06-25 00:00:00,0
NULL,Isabel,Vázquez Castro,isabel.vazquez@ejemplo.com,2006-08-01 00:00:00,1
NULL,Lucía,Gómez Ortega,lucia.gomez@ejemplo.com,2004-12-16 00:00:00,0
